year,n_obs,n_firms,n_filings,avg_complexity,avg_gap
2009,756,384,756,0.4744359334510229,0.00021464262100195507
2010,3040,1177,3040,0.44822667941262295,0.000579900937443944
2011,9325,3589,9325,0.4317185800674767,0.006668601472359938
2012,14863,3664,14160,0.41131774214786504,0.0012269682379105345
2013,16663,3808,14236,0.39754261079558384,0.0024952010501174673
2014,16982,3924,14499,0.4088371600323626,0.005297180770917443
2015,17298,3960,14708,0.4174626169552003,0.01218192064494
2016,16833,3853,14295,0.4209409668202795,0.010773650905002789
2017,16589,3791,14090,0.41400033772699546,0.011063191990552034
2018,22313,3802,14179,0.3996651307592955,0.035955532341957176
2019,22270,3808,14191,0.38890449663108084,0.026788498524700985
2020,20145,3801,14154,0.3924593279870001,0.019325049158809837
2021,16235,4216,15735,0.41173454957233274,-0.00120042095025748
2022,17363,4243,16721,0.4045569538131572,0.00039284359678335736
2023,17177,4140,16305,0.40519100744945236,-0.003625869163735178
2024,16359,3984,15651,0.4020322438392495,0.008118065636394741
2025,14816,3755,14816,0.3960777860233187,0.0006816173810415951
2026,6795,3486,6795,0.3761296081460693,0.0009334203231378354
