gap_quintile,complexity_quintile,mean,count,std
1,1,0.0023199820788530464,10044,0.1916838078777244
1,2,0.004175850600022019,9083,0.1824824171587208
1,3,-0.004734610158454526,9214,0.18535281766336834
1,4,0.0034874012264564168,9132,0.21602669437052144
1,5,-0.0037478086859688195,8980,0.20612457242401036
2,1,0.0066161666826876865,10403,0.15707831291823424
2,2,0.005574358169356621,9046,0.15278696144200818
2,3,0.007994288289237905,9487,0.21021500213248204
2,4,0.005501518277640727,8918,0.1537399889080173
2,5,0.0015031331761932822,8485,0.15371016647572136
3,1,0.01038703018329492,9111,0.16608080441503326
3,2,0.006000314033556396,10311,0.1530338097158462
3,3,0.0065734727577535625,9544,0.19877350486341042
3,4,0.004538743693122913,8681,0.19260618783658603
3,5,0.008491169793944976,8687,0.17483962023558142
4,1,0.007824777931671283,8664,0.15415456498385982
4,2,0.0074559169694379136,9358,0.24167854750807624
4,3,0.008413910688783917,9103,0.2526341978628942
4,4,0.006620082377919321,9420,0.1887662240078888
4,5,0.0010678978966714315,9794,0.18363536780179188
5,1,0.006225039606366177,8231,0.23390729374869482
5,2,0.004536916871560707,8541,0.19570786098127413
5,3,0.003881325061206321,8986,0.24139985650446746
5,4,0.006948549568119355,10188,0.23904539179113551
5,5,0.00570389022642591,10467,0.24346720651136053
