decile,mean,count,std
1,-0.000971085209694053,23272,0.21924280097358254
2,0.0016564071437815452,23181,0.17096938515680082
3,0.00508839366203264,23162,0.16598438421879302
4,0.005999684601113172,23177,0.16879117941624036
5,0.0065148651549769366,23197,0.17287732944808415
6,0.007835112287677746,23137,0.1817470633040675
7,0.005556690460767802,23157,0.22261156031638918
8,0.00682866288499698,23182,0.19171272461862754
9,0.007961702210326368,23164,0.21478894321007913
10,0.0030511104563637143,23249,0.24841537059257893
